,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
0,2,1.0,1.0,1.0,145.0,3,730,106
1,4,1.0,1.0,2.0,169.0,3,730,115
2,2,1.0,1.0,1.0,99.0,32,365,24
3,2,1.0,1.0,1.0,150.0,91,365,30
4,3,0.0,1.0,1.0,84.0,90,1125,9
5,3,0.0,1.0,1.0,179.0,33,1125,78
6,2,0.0,1.0,1.0,125.0,91,1125,2
7,7,3.0,1.0,3.0,150.0,32,90,52
8,1,1.0,,1.0,148.0,2,90,315
9,5,2.0,2.0,3.0,290.0,2,30,103
10,2,1.0,1.0,1.0,185.0,3,365,18
11,2,1.0,1.0,1.0,221.0,2,21,93
12,2,1.0,1.5,1.0,95.0,6,180,75
13,2,1.0,1.0,1.0,184.0,2,21,82
14,3,1.0,1.0,1.0,125.0,3,180,129
15,2,1.0,1.0,1.0,75.0,2,28,141
16,2,1.0,1.0,1.0,175.0,32,365,18
17,3,1.0,1.0,1.0,110.0,32,260,44
18,2,1.0,1.0,1.0,79.0,2,5,120
19,2,1.0,1.0,1.0,140.0,2,730,54
20,2,0.0,1.0,1.0,175.0,5,60,41
21,6,2.0,1.0,3.0,225.0,3,365,226
22,10,4.0,2.0,5.0,200.0,2,7,147
23,1,1.0,1.0,1.0,85.0,30,180,42
24,2,1.0,1.0,1.0,90.0,2,180,386
25,2,1.0,1.0,1.0,110.0,3,31,191
26,5,1.0,1.0,3.0,300.0,45,150,68
27,5,1.0,1.0,1.0,95.0,2,1125,250
28,1,1.0,,1.0,105.0,2,365,316
29,1,1.0,0.0,1.0,55.0,28,365,101
30,4,2.0,1.0,3.0,200.0,1,365,323
31,4,1.0,1.0,1.0,167.0,29,1125,92
32,1,1.0,1.5,1.0,80.0,1,1125,27
33,2,1.0,1.0,1.0,150.0,30,365,17
34,6,2.0,2.0,2.0,196.0,29,365,280
35,2,1.0,1.0,1.0,99.0,2,29,311
36,2,1.0,1.0,1.0,193.0,3,90,405
37,2,0.0,1.0,2.0,167.0,29,1125,111
38,9,4.0,2.0,6.0,250.0,5,8,5
39,1,1.0,1.0,1.0,60.0,91,180,24
40,2,1.0,1.0,1.0,71.0,3,120,311
41,2,1.0,1.0,1.0,200.0,2,120,16
42,2,1.0,1.5,1.0,62.0,3,10,9
43,2,1.0,1.0,1.0,148.0,2,125,175
44,9,5.0,2.0,5.0,175.0,32,90,67
45,6,2.0,2.5,2.0,168.0,32,90,53
46,5,2.0,1.0,2.0,125.0,32,90,54
47,8,3.0,1.0,5.0,142.0,32,90,59
48,4,2.0,1.0,2.0,110.0,1,1125,266
49,4,2.0,1.5,2.0,152.0,3,8,94
50,5,2.0,1.0,2.0,125.0,32,180,50
51,2,1.0,1.0,1.0,149.0,3,1125,20
52,2,1.0,1.0,1.0,210.0,180,1125,33
53,6,3.0,1.0,4.0,125.0,32,90,37
54,2,1.0,1.0,1.0,175.0,3,365,169
55,1,1.0,1.0,1.0,188.0,1,6,7
56,4,1.0,1.0,1.0,163.0,91,1125,117
57,2,1.0,1.0,1.0,175.0,91,365,19
58,4,1.0,1.0,2.0,100.0,2,60,369
59,2,1.0,1.5,1.0,135.0,5,90,1
60,10,4.0,2.5,5.0,550.0,3,90,71
61,1,1.0,1.0,1.0,25.0,90,365,5
62,2,1.0,1.0,1.0,65.0,2,14,195
63,2,1.0,1.0,2.0,50.0,2,1125,142
64,4,2.0,2.0,2.0,347.0,3,92,398
65,4,1.0,1.0,1.0,169.0,3,90,54
66,2,1.0,1.0,1.0,149.0,3,30,54
67,4,1.0,2.0,2.0,275.0,2,1125,74
68,2,1.0,1.0,2.0,79.0,91,1125,7
69,1,1.0,1.0,1.0,61.0,91,1125,26
70,6,3.0,1.0,3.0,239.0,3,1000,149
71,5,2.0,2.0,2.0,385.0,2,28,8
72,4,1.0,1.0,2.0,125.0,2,30,392
73,2,1.0,1.5,1.0,90.0,2,1124,58
74,3,1.0,1.0,1.0,119.0,3,1125,90
75,2,0.0,1.0,1.0,195.0,3,1120,46
76,2,1.0,1.0,1.0,156.0,3,90,280
77,2,1.0,1.0,1.0,120.0,1,14,81
78,1,1.0,1.0,1.0,140.0,2,1125,255
79,3,2.0,1.0,2.0,170.0,2,30,87
80,3,1.0,1.0,1.0,125.0,91,1125,8
81,2,1.0,1.0,1.0,80.0,1,6,40
82,2,1.0,1.0,1.0,90.0,2,180,321
83,3,0.0,1.0,1.0,155.0,4,366,96
84,2,,1.0,1.0,176.0,1,1125,0
85,1,1.0,1.0,1.0,100.0,3,365,164
86,1,1.0,1.0,1.0,100.0,3,365,116
87,2,1.0,2.0,1.0,95.0,32,260,32
88,8,4.0,2.0,6.0,439.0,2,90,73
89,2,1.0,1.0,1.0,60.0,1,10,344
90,6,4.0,2.5,4.0,70.0,1,1125,209
91,3,2.0,1.5,2.0,90.0,1,30,245
92,1,1.0,1.0,1.0,26.0,90,365,8
93,2,1.0,1.0,2.0,99.0,1,5,248
94,4,2.0,1.0,3.0,136.0,91,91,28
95,4,1.0,1.0,2.0,167.0,29,1125,119
96,2,1.0,1.0,1.0,165.0,2,365,94
97,5,1.0,1.0,4.0,149.0,28,365,144
98,4,2.0,1.5,2.0,121.0,5,13,15
99,2,1.0,1.0,1.0,200.0,2,365,65
100,2,0.0,1.0,1.0,160.0,3,1122,36
101,3,1.0,1.0,1.0,199.0,1,5,35
102,4,1.0,2.0,3.0,76.0,1,45,554
103,4,2.0,1.0,2.0,147.0,3,1125,247
104,1,1.0,2.0,1.0,47.0,1,100,408
105,1,1.0,1.0,1.0,65.0,91,180,39
106,1,1.0,1.0,1.0,67.0,91,180,37
107,1,1.0,1.0,1.0,70.0,30,180,18
108,6,3.0,3.0,4.0,350.0,29,1125,25
109,2,1.0,1.0,1.0,99.0,28,365,232
110,1,1.0,1.0,1.0,68.0,28,186,102
111,2,1.0,2.5,1.0,80.0,1,1125,311
112,3,1.0,2.0,3.0,75.0,1,1125,547
113,3,1.0,1.0,2.0,83.0,1,1125,60
114,1,1.0,1.0,1.0,75.0,28,90,15
115,1,1.0,2.5,1.0,60.0,1,1125,45
116,2,0.0,1.0,1.0,109.0,2,364,38
117,4,2.0,2.0,2.0,350.0,3,30,12
118,3,1.0,2.0,2.0,77.0,1,120,554
