,host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews,latitude,longitude,city,zipcode,state
0,100%,,6.0,2,Entire home/apt,1.0,1.0,1.0,145.0,$60.00,$0.00,3,730,106,42.329809999999995,-71.09559,Boston,02119,MA
1,100%,,6.0,4,Entire home/apt,1.0,1.0,2.0,169.0,$80.00,$0.00,3,730,115,42.32994,-71.09351,Boston,02119,MA
2,100%,,12.0,2,Entire home/apt,1.0,1.0,1.0,99.0,$250.00,"$1,000.00",32,365,24,42.359190000000005,-71.06265,Boston,02108,MA
3,100%,,12.0,2,Entire home/apt,1.0,1.0,1.0,150.0,$250.00,"$1,000.00",91,365,30,42.3584,-71.06185,Boston,02108,MA
4,100%,,11.0,3,Entire home/apt,0.0,1.0,1.0,84.0,$150.00,$500.00,90,1125,9,42.34973,-71.08792,Boston,02115,MA
5,100%,,11.0,3,Entire home/apt,0.0,1.0,1.0,179.0,$100.00,$500.00,33,1125,78,42.34961,-71.08904,Boston,02115,MA
6,100%,,11.0,2,Entire home/apt,0.0,1.0,1.0,125.0,$145.00,$500.00,91,1125,2,42.36352,-71.05075,Boston,02109,MA
7,94%,,25.0,7,Entire home/apt,3.0,1.0,3.0,150.0,$175.00,$100.00,32,90,52,42.32329,-71.0621,Boston,02125,MA
8,100%,,4.0,1,Private room,1.0,,1.0,148.0,$21.00,$0.00,2,90,315,42.34496,-71.07486,Boston,02116,MA
9,100%,,1.0,5,Entire home/apt,2.0,2.0,3.0,290.0,$0.00,$0.00,2,30,103,42.363659999999996,-71.05023,Boston,02109,MA
10,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,185.0,$60.00,$200.00,3,365,18,42.31557,-71.11483,Boston,02130,MA
11,100%,,4.0,2,Entire home/apt,1.0,1.0,1.0,221.0,$25.00,$0.00,2,21,93,42.37834,-71.06663,Boston,02129,MA
12,67%,,1.0,2,Private room,1.0,1.5,1.0,95.0,,,6,180,75,42.3151,-71.11108,Boston,02130,MA
13,100%,,4.0,2,Entire home/apt,1.0,1.0,1.0,184.0,$25.00,$0.00,2,21,82,42.37655,-71.06676999999999,Boston,02129,MA
14,100%,,1.0,3,Entire home/apt,1.0,1.0,1.0,125.0,$100.00,,3,180,129,42.37404,-71.06118000000001,Charlestown,02129,MA
15,100%,,5.0,2,Private room,1.0,1.0,1.0,75.0,$0.00,$0.00,2,28,141,42.32584,-71.08927,Boston,02119,MA
16,100%,,12.0,2,Entire home/apt,1.0,1.0,1.0,175.0,$250.00,"$1,000.00",32,365,18,42.35712,-71.0618,Boston,02108,MA
17,100%,,12.0,3,Entire home/apt,1.0,1.0,1.0,110.0,$250.00,"$1,000.00",32,260,44,42.358670000000004,-71.06331999999999,Boston,02108,MA
18,100%,,5.0,2,Private room,1.0,1.0,1.0,79.0,$0.00,$0.00,2,5,120,42.32614,-71.0884,Boston,02119,MA
19,90%,,1.0,2,Private room,1.0,1.0,1.0,140.0,,,2,730,54,42.37853,-71.06177,Boston,02129,MA
20,100%,,1.0,2,Entire home/apt,0.0,1.0,1.0,175.0,,,5,60,41,42.35937,-71.13156,Boston,02134,MA
21,100%,,6.0,6,Entire home/apt,2.0,1.0,3.0,225.0,$85.00,$0.00,3,365,226,42.32965,-71.09503000000001,Boston,02119,MA
22,100%,,1.0,10,Entire home/apt,4.0,2.0,5.0,200.0,$80.00,$500.00,2,7,147,42.32158,-71.09047,Boston,02119,MA
23,100%,,1.0,1,Private room,1.0,1.0,1.0,85.0,,,30,180,42,42.3132,-71.11832,Boston,02130,MA
24,100%,,2.0,2,Entire home/apt,1.0,1.0,1.0,90.0,$60.00,$100.00,2,180,386,42.31732,-71.10834,Boston,02130,MA
25,100%,,1.0,2,Private room,1.0,1.0,1.0,110.0,$50.00,$125.00,3,31,191,42.31864,-71.10641,Boston,02130,MA
26,,,1.0,5,Entire home/apt,1.0,1.0,3.0,300.0,$35.00,$500.00,45,150,68,42.28143,-71.12576,Boston,02131,MA
27,100%,,1.0,5,Private room,1.0,1.0,1.0,95.0,$60.00,$300.00,2,1125,250,42.365390000000005,-71.05438000000001,Boston,02113,MA
28,100%,,4.0,1,Private room,1.0,,1.0,105.0,$26.00,$0.00,2,365,316,42.34643,-71.07503,Boston,02116,MA
29,100%,,2.0,1,Private room,1.0,0.0,1.0,55.0,,,28,365,101,42.28145,-71.12925,Boston,02131,MA
30,100%,,2.0,4,Entire home/apt,2.0,1.0,3.0,200.0,$100.00,$500.00,1,365,323,42.330659999999995,-71.03984,Boston,02127,MA
31,96%,,95.0,4,Entire home/apt,1.0,1.0,1.0,167.0,$105.00,$500.00,29,1125,92,42.33814,-71.08001,Boston,02118,MA
32,100%,,1.0,1,Private room,1.0,1.5,1.0,80.0,,,1,1125,27,42.28719,-71.16816,Boston,02132,MA
33,100%,,12.0,2,Entire home/apt,1.0,1.0,1.0,150.0,$150.00,"$1,000.00",30,365,17,42.35881,-71.06546999999999,Boston,02114,MA
34,100%,,10.0,6,Entire home/apt,2.0,2.0,2.0,196.0,$125.00,$200.00,29,365,280,42.29929,-71.05996999999999,Boston,02122,MA
35,100%,,2.0,2,Private room,1.0,1.0,1.0,99.0,$15.00,$150.00,2,29,311,42.3398,-71.07853,Boston,02118,MA
36,100%,,4.0,2,Entire home/apt,1.0,1.0,1.0,193.0,$70.00,$100.00,3,90,405,42.34349,-71.0768,Boston,02118,MA
37,96%,,95.0,2,Entire home/apt,0.0,1.0,2.0,167.0,$105.00,$500.00,29,1125,111,42.33824,-71.08171999999999,Boston,02118,MA
38,,,1.0,9,Entire home/apt,4.0,2.0,6.0,250.0,$100.00,$200.00,5,8,5,42.32443,-71.10651999999999,Boston,02130,MA
39,100%,,3.0,1,Private room,1.0,1.0,1.0,60.0,$30.00,$100.00,91,180,24,42.30088,-71.0819,Boston,02121,MA
40,86%,,1.0,2,Private room,1.0,1.0,1.0,71.0,,,3,120,311,42.31713,-71.10965999999999,Boston,02130,MA
41,,,1.0,2,Private room,1.0,1.0,1.0,200.0,$50.00,$100.00,2,120,16,42.3092,-71.11836,Boston,02130,MA
